,Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime,Percentage Difference (Correlated - Booles),Percentage Difference (Correlated - Independent),Percentage Difference (MC Correlated - Theoretical Correlated),Percentage Difference (MC Correlated - Theoretical Independent)
2794,drones_instance-117_network_6_deadline_12_corrsize_3,drones,117,4,4,6,12,3,38.116909140201045,0.0363006385848643,0.8516,111,0.0396,0.0409,0.0419,0.0223579470205846,0.036869405692526,0.0448854935344827,0.2642345428466797,0.7032968997955322,10.975702285766602,5.4892601431980825,2.386634844868737,-7.125282898526731,12.006191664615745
2795,drones_instance-117_network_6_deadline_12_corrsize_4,drones,117,4,4,6,12,4,18.804656505999407,0.2464690590075316,0.6636,111,0.9034,0.9062,0.906,0.8641159498508445,0.8912274504709321,0.9060122719611834,0.2686779499053955,0.4658637046813965,11.83723282814026,0.2869757174392988,-0.02207505518763554,-0.0013545211019164753,1.6305242305814487
2796,drones_instance-117_network_6_deadline_13_corrsize_2,drones,117,4,4,6,13,2,39.31211964621002,0.0107712950259709,0.9945,111,0.9937,0.9985,0.9985,1.0,0.9975718503660712,0.9981054105379744,0.2636401653289795,0.4331064224243164,2.3411741256713867,0.48072108162243626,0.0,0.03951822353787088,0.09295439498536236
2797,drones_instance-117_network_6_deadline_13_corrsize_3,drones,117,4,4,6,13,3,54.120691731999976,0.366530625313078,0.6446,111,0.9117,0.9161,0.9143,0.8939557042565449,0.9156084382062178,0.9148075788978682,0.2706694602966308,0.5682168006896973,0.7914247512817383,0.2843705567100565,-0.196871923876192,-0.05551557452348602,-0.14310819273956507
2798,drones_instance-117_network_6_deadline_13_corrsize_4,drones,117,4,4,6,13,4,8.12248386130268,0.164189193783766,0.6506,111,0.9924,0.9997,0.9998,1.0,0.9992401549499365,0.9992520147711348,0.2693934440612793,0.302018404006958,2.922240972518921,0.7401480296059285,0.010002000400078915,0.054809484783480016,0.0559957041471862
2799,drones_instance-117_network_6_deadline_14_corrsize_2,drones,117,4,4,6,14,2,24.91790897824681,0.0349453956992921,0.9635,111,0.9236,0.9266,0.9278,0.8904782565818864,0.9137149607969348,0.9301157056191152,0.2642467021942138,0.4621651172637939,0.9684159755706788,0.4526837680534578,0.12933821944384338,-0.2495910346103907,1.5181115761010069
2800,drones_instance-117_network_6_deadline_14_corrsize_3,drones,117,4,4,6,14,3,38.22545967512915,0.0219351477196993,0.9536,111,0.9934,0.9997,0.9998,1.0,0.9992401549499365,0.9993142046968834,0.2692639827728271,0.3550589084625244,0.8581526279449463,0.6401280256051283,0.010002000400078915,0.04858924816129766,0.0559957041471862
2801,drones_instance-117_network_6_deadline_14_corrsize_4,drones,117,4,4,6,14,4,0.2436294926779147,0.5913064309371359,0.5803,111,0.9933,1.0,1.0,1.0,0.9992401549499365,0.9992480037397594,0.2676327228546142,0.3812036514282226,1.9960505962371824,0.6700000000000039,0.0,0.07519962602405839,0.07598450500635456
2805,drones_instance-117_network_7_deadline_11_corrsize_2,drones,117,4,4,7,11,2,42.26353935902746,0.0743584168018559,0.9232,111,0.1291,0.1372,0.1329,0.1023128494012182,0.144004330159666,0.1323953622430188,0.2707374095916748,0.5182702541351318,1.2210235595703125,2.8592927012791556,-3.235515425131677,0.37971238298058857,-8.355402678454476
2806,drones_instance-117_network_7_deadline_11_corrsize_3,drones,117,4,4,7,11,3,22.56107073217007,0.1315101804569749,0.6902,111,0.0454,0.0525,0.0683,0.0609140260787383,0.0902299551591753,0.0663247637792378,0.266566514968872,0.4141724109649658,7.516649961471558,33.52855051244509,23.13323572474378,2.8920003232243126,-32.10827988166222
2807,drones_instance-117_network_7_deadline_11_corrsize_4,drones,117,4,4,7,11,4,17.93914179909052,0.4163688922961593,0.3863,111,0.6065,0.6087,0.6077,0.5484505341491465,0.60868618681342,0.6059691930223572,0.2751452922821045,0.5397372245788574,0.7993936538696289,0.1974658548625932,-0.16455487905216404,0.2848127328686571,-0.1622818518051667
2808,drones_instance-117_network_7_deadline_12_corrsize_2,drones,117,4,4,7,12,2,74.07491163692794,0.489299816974686,0.5594,111,0.0517,0.0533,0.0594,0.0251063912514036,0.0425628090567734,0.0618548381380887,0.2643015384674072,0.5642333030700684,0.8586313724517822,12.96296296296296,10.269360269360272,-4.132724138196466,28.345439298361285
2809,drones_instance-117_network_7_deadline_12_corrsize_3,drones,117,4,4,7,12,3,22.058214236043213,0.1993078223046017,0.4834,111,0.9929,0.9988,0.9985,1.0,0.9985536532262014,0.9976099902291774,0.2707681655883789,1.462526559829712,16.917399883270264,0.5608412618928441,-0.03004506760139879,0.08913467910091666,-0.005373382694173489
2810,drones_instance-117_network_7_deadline_12_corrsize_4,drones,117,4,4,7,12,4,12.482902753980833,0.0092906978855674,0.7378,111,0.8738,0.8784,0.8787,0.8387017557278704,0.8706171817241499,0.8749757684845486,0.2699677944183349,0.4694395065307617,4.189268350601196,0.5576419710936629,0.03414134516900853,0.42383424552764604,0.9198609623136579
2811,drones_instance-117_network_7_deadline_13_corrsize_2,drones,117,4,4,7,13,2,17.802013854867393,0.4207792192763531,0.6527,111,0.9932,0.9998,0.9999,1.0,0.9992401549499365,0.9992464529216516,0.2685976028442383,0.6174077987670898,0.3529458045959472,0.670067006700674,0.0100010001000089,0.06536124395923747,0.06599110411676734
2812,drones_instance-117_network_7_deadline_13_corrsize_3,drones,117,4,4,7,13,3,29.420038050292188,0.0180870178011115,0.7552,111,0.9938,0.9997,0.9997,1.0,0.9992401549499365,0.9993150769665547,0.2690536975860595,0.3271195888519287,15.95410704612732,0.5901770531159364,0.0,0.03850385450087862,0.04599830449770718
2813,drones_instance-117_network_7_deadline_13_corrsize_4,drones,117,4,4,7,13,4,54.72021301392261,0.2668380356610636,0.565,111,0.9835,0.9876,0.9875,0.9865790293237292,0.9881872223264204,0.9884603404866188,0.2675390243530273,0.3394231796264648,9.792118310928345,0.4050632911392409,-0.010126582278479897,-0.09724966953101258,-0.06959213432105095
2814,drones_instance-117_network_7_deadline_14_corrsize_2,drones,117,4,4,7,14,2,19.61318181920221,0.7363006153651392,0.4845,111,0.9861,0.9908,0.9911,0.9903595589400556,0.9906841673898964,0.9908279469369776,0.272428035736084,0.3948888778686523,0.5164361000061035,0.5044899606497835,0.030269397638983654,0.027449607811760614,0.041956675421610704
2815,drones_instance-117_network_7_deadline_14_corrsize_3,drones,117,4,4,7,14,3,22.191796071959867,0.3019941634752028,0.5442,111,0.9928,0.9985,0.9987,1.0,0.9976910900650884,0.9972155707157913,0.2637865543365478,1.5921108722686768,0.4180090427398681,0.5907679983979188,0.02002603384399499,0.1486361554229275,0.10102232251042859
2816,drones_instance-117_network_7_deadline_14_corrsize_4,drones,117,4,4,7,14,4,27.77138841399025,0.2742061854572399,0.4914,111,0.9192,0.9233,0.9246,0.8929345987807212,0.9155092716634516,0.9214924344859752,0.2666676044464111,0.4665675163269043,16.01109027862549,0.5840363400389315,0.14060134112048106,0.3360983683781961,0.9832066122159135
2817,drones_instance-117_network_8_deadline_10_corrsize_2,drones,117,4,4,8,10,2,38.68389076598062,0.7395026077169449,0.444,111,0.0342,0.0362,0.036,0.0169455190522066,0.0294543010037885,0.0349915702688514,0.2656383514404297,0.559086799621582,1.132164478302002,4.999999999999989,-0.5555555555555716,2.801193697634995,18.182497211698607
2818,drones_instance-117_network_8_deadline_10_corrsize_3,drones,117,4,4,8,10,3,43.04110366940736,0.2453242472704624,0.7367,111,0.4074,0.4114,0.4139,0.3488288303747037,0.415589090767081,0.4128259548466705,0.2712991237640381,0.7093400955200195,2.344773292541504,1.5704276395264571,0.6040106305870989,0.2594938761366233,-0.40809151173737956
2819,drones_instance-117_network_8_deadline_10_corrsize_4,drones,117,4,4,8,10,4,26.3469238411504,0.4144982519602128,0.5615,111,0.9891,0.9933,0.9931,0.9953109204033328,0.9937031822659856,0.993744566901913,0.2657322883605957,1.4870448112487793,1.7586445808410645,0.4027791763165848,-0.020138958815827,-0.06490453145836847,-0.06073731406561855
2820,drones_instance-117_network_8_deadline_11_corrsize_2,drones,117,4,4,8,11,2,15.327145413598522,0.0542134270482333,0.9638,111,0.9933,0.999,0.9986,1.0,0.9985735081593076,0.99821172118819,0.2651064395904541,1.458951711654663,0.3534047603607178,0.5307430402563671,-0.04005607850990947,0.03888231642399637,0.0026528981266250203
2821,drones_instance-117_network_8_deadline_11_corrsize_3,drones,117,4,4,8,11,3,30.3155578203525,0.0347866053301505,0.7607,111,0.9678,0.9714,0.9717,0.9593206553903144,0.9677961928367212,0.968803337275949,0.2695972919464111,0.4489431381225586,2.1597588062286377,0.401358443964188,0.030873726458780178,0.29810257528568285,0.4017502483563611
2823,drones_instance-117_network_8_deadline_12_corrsize_2,drones,117,4,4,8,12,2,29.132003996992253,0.8846894794006658,0.2564,111,0.9926,0.9997,0.9997,1.0,0.9991762424569792,0.9991772055929112,0.2666163444519043,0.3347406387329101,1.422046422958374,0.7102130639191753,0.0,0.05229512924765431,0.05239147174360394
2824,drones_instance-117_network_8_deadline_12_corrsize_3,drones,117,4,4,8,12,3,30.224850132410463,0.1093265616793123,0.718,111,0.7966,0.7987,0.798,0.7600759974624003,0.8024751735901757,0.8010741436071115,0.2652761936187744,0.473952054977417,6.617794036865234,0.17543859649123658,-0.08771929824560437,-0.38523102846008095,-0.5607986955107375
2825,drones_instance-117_network_8_deadline_12_corrsize_4,drones,117,4,4,8,12,4,61.916506710687806,0.0100709407441816,0.6475,111,0.3296,0.3315,0.3296,0.2641718820548211,0.3261765516789522,0.3308705756402311,0.264019250869751,0.5032520294189453,48.02129530906677,0.0,-0.5764563106796156,-0.38549018210894614,1.038667573133433
