Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
rovers_instance-3_network_2_deadline_1_corrsize_2,rovers,3,0,0,2,1,2,1.3021638759440193,8.938717389999976e-06,0.9,64,0.93725,0.93875,0.93885,0.9151489732045018,0.932471818985746,0.9347887124370621,0.328155517578125,0.49373745918273926,3.7861666679382324
rovers_instance-3_network_2_deadline_2_corrsize_2,rovers,3,0,0,2,2,2,1.389480061667236,8.938717389999976e-06,0.9,64,0.9855,0.98795,0.98785,0.9876977417460181,0.9877199027146092,0.9882216863636989,0.33329200744628906,0.5522780418395996,6.486374616622925
rovers_instance-3_network_3_deadline_0_corrsize_2,rovers,3,0,0,3,0,2,1.3692062106028047,8.938717389999976e-06,0.9,64,0.4613,0.4626,0.47035,0.34657566998953837,0.4142722946335412,0.46594768173646195,0.3318202495574951,0.49999380111694336,1.2566747665405273
rovers_instance-3_network_3_deadline_1_corrsize_2,rovers,3,0,0,3,1,2,1.5508898099894184,8.938717389999976e-06,0.9,64,0.91125,0.9127,0.9144,0.8879563020710884,0.9105150633557637,0.9155059221090665,0.32913970947265625,0.4356718063354492,4.30368185043335
rovers_instance-3_network_3_deadline_2_corrsize_2,rovers,3,0,0,3,2,2,0.5890966043094071,8.938717389999976e-06,0.9,64,0.9941,0.9998,0.9998,1.0,0.9990502839177663,0.9993583536733153,0.3244960308074951,0.3514418601989746,4.410977363586426
rovers_instance-4_network_1_deadline_0_corrsize_2,rovers,4,0,0,1,0,2,2.6304465325670106,0.006858999999999999,0.9,28,0.14495,0.12395,0.14955,0.032970347629480284,0.06082751033112134,0.15055570450547415,0.15576553344726562,0.29431653022766113,1.0412700176239014
rovers_instance-4_network_1_deadline_1_corrsize_2,rovers,4,0,0,1,1,2,2.508018530177914,0.006858999999999999,0.9,28,0.65115,0.66405,0.6708,0.49091366170656725,0.5562639259323684,0.6702272089938415,0.15731263160705566,0.2654733657836914,1.0916671752929688
rovers_instance-4_network_1_deadline_2_corrsize_2,rovers,4,0,0,1,2,2,2.739007968370249,0.006858999999999999,0.9,28,0.86495,0.86345,0.86725,0.7802169403273145,0.818916323167634,0.86948504415351,0.1551837921142578,0.2595093250274658,1.4258339405059814
rovers_instance-4_network_2_deadline_0_corrsize_2,rovers,4,0,0,2,0,2,2.838283351850453,0.006858999999999999,0.9,28,0.1595,0.154,0.1594,0.03601806825906119,0.0551576686238508,0.15816090277661674,0.15296268463134766,0.2653372287750244,1.0875849723815918
rovers_instance-4_network_2_deadline_1_corrsize_2,rovers,4,0,0,2,1,2,2.0020284276589027,0.006858999999999999,0.9,28,0.6661,0.67195,0.6752,0.48883622595386705,0.5518087661199428,0.6739590581746625,0.15317296981811523,0.26648998260498047,2.3686892986297607
rovers_instance-4_network_2_deadline_2_corrsize_2,rovers,4,0,0,2,2,2,1.4167524757917314,0.006858999999999999,0.9,28,0.9708,0.97175,0.9721,0.9561276811612806,0.9654605616567817,0.9735532522022297,0.16057896614074707,0.22440242767333984,1.519939661026001
rovers_instance-4_network_3_deadline_0_corrsize_2,rovers,4,0,0,3,0,2,2.513967724737011,0.006858999999999999,0.9,28,0.16875,0.1612,0.17025,0.04052221641642064,0.06214897382456384,0.17486202131138193,0.15809392929077148,0.26802539825439453,1.1526474952697754
rovers_instance-4_network_3_deadline_1_corrsize_2,rovers,4,0,0,3,1,2,2.742583469830315,0.006858999999999999,0.9,28,0.50995,0.566,0.58035,0.3740703436198122,0.4465828299434775,0.5843624551708431,0.15349459648132324,0.2584819793701172,1.6051726341247559
rovers_instance-4_network_3_deadline_2_corrsize_2,rovers,4,0,0,3,2,2,1.8846391467310897,0.006858999999999999,0.9,28,0.9049,0.9065,0.9068,0.8346704820523714,0.8667311658582572,0.9049228033399268,0.1564650535583496,0.25446200370788574,1.2373476028442383
rovers_instance-5_network_1_deadline_0_corrsize_2,rovers,5,0,0,1,0,2,1.3477325915226839,1.6983563040999944e-06,0.9,94,0.0013,0.00155,0.00185,3.75791382398507e-05,0.00025726443939343716,0.0021920690345520223,0.4050419330596924,0.6992464065551758,2.302130699157715
rovers_instance-5_network_1_deadline_1_corrsize_2,rovers,5,0,0,1,1,2,2.2612468295372388,1.6983563040999944e-06,0.9,94,0.24885,0.2602,0.2698,0.11544268736864836,0.1734694092049271,0.2683481690708625,0.39686012268066406,0.7336363792419434,2.709303379058838
rovers_instance-5_network_1_deadline_2_corrsize_2,rovers,5,0,0,1,2,2,2.151129789625001,1.6983563040999944e-06,0.9,94,0.7879,0.79005,0.794,0.6919503636395838,0.7478567831201277,0.7910865934511153,0.4027440547943115,0.7328701019287109,3.106508255004883
rovers_instance-5_network_2_deadline_0_corrsize_2,rovers,5,0,0,2,0,2,4.199606280067593,1.6983563040999944e-06,0.9,94,0.001,0.0069,0.00905,3.7445048069633274e-05,0.0011012973848713548,0.008182080191136079,0.3959786891937256,0.7174465656280518,2.632662057876587
