Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
crewplanning_instance-5_network_2_deadline_0_corrsize_2,crewplanning,5,0,0,2,0,2,62.03369514545987,0.006858999999999999,0.9,89,0.05355,0.05355,0.0577,0.019799442787128634,0.031236133605559494,0.057308316193166314,0.15610527992248535,0.21752095222473145,0.6490983963012695
crewplanning_instance-5_network_2_deadline_1_corrsize_2,crewplanning,5,0,0,2,1,2,139.66500850088872,0.006858999999999999,0.9,89,0.24475,0.25,0.2583,0.14632508505425543,0.19274529294077744,0.2583762863322899,0.15851879119873047,0.24868202209472656,0.8925964832305908
crewplanning_instance-5_network_2_deadline_2_corrsize_2,crewplanning,5,0,0,2,2,2,122.27891339040102,0.006858999999999999,0.9,89,0.61315,0.61575,0.62385,0.49654585757208997,0.561959262952299,0.6237254480843664,0.15435576438903809,0.26675844192504883,1.051177978515625
crewplanning_instance-5_network_3_deadline_0_corrsize_2,crewplanning,5,0,0,3,0,2,152.14870074909928,0.006858999999999999,0.9,89,0.0523,0.0523,0.05855,0.019799442787128568,0.03123614309091282,0.057330778521779605,0.15530061721801758,0.21915459632873535,0.6516218185424805
crewplanning_instance-5_network_3_deadline_1_corrsize_2,crewplanning,5,0,0,3,1,2,102.69655824772019,0.006858999999999999,0.9,89,0.29415,0.3017,0.30715,0.18570944432038997,0.23852664067262835,0.30818281371433015,0.15825271606445312,0.24704813957214355,0.7488713264465332
crewplanning_instance-5_network_3_deadline_2_corrsize_2,crewplanning,5,0,0,3,2,2,68.04409005178316,0.006858999999999999,0.9,89,0.80745,0.80755,0.8102,0.7238651758279059,0.7720285801565245,0.8092931381815762,0.1612536907196045,0.26004695892333984,2.2040045261383057
crewplanning_instance-6_network_1_deadline_0_corrsize_2,crewplanning,6,0,0,1,0,2,125.69980075176393,0.001303209999999999,0.9,133,0.03915,0.0392,0.0426,0.004123957257389847,0.007808538490785793,0.04180942862568379,0.17928600311279297,0.26499199867248535,1.7425174713134766
crewplanning_instance-6_network_1_deadline_1_corrsize_2,crewplanning,6,0,0,1,1,2,147.13266776149558,0.001303209999999999,0.9,133,0.2683,0.27585,0.28335,0.10995497072087636,0.15381523142717637,0.28149002563324077,0.18174123764038086,0.294863224029541,1.5118095874786377
crewplanning_instance-6_network_1_deadline_2_corrsize_2,crewplanning,6,0,0,1,2,2,98.25753300123908,0.001303209999999999,0.9,133,0.81765,0.8185,0.81905,0.7108489210399341,0.7614238771024704,0.8195670827975299,0.18054676055908203,0.32451725006103516,1.5196690559387207
crewplanning_instance-6_network_2_deadline_0_corrsize_2,crewplanning,6,0,0,2,0,2,86.53717794438236,0.001303209999999999,0.9,133,0.0402,0.0402,0.0431,0.004123957257389884,0.007808541972343822,0.04201464566962655,0.17773008346557617,0.2605924606323242,1.5909740924835205
